level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	6	1	1	0	259	994	1981	37	-1	
5	1	6	1	1	1	259	1000	40	24	95	If
5	1	6	1	1	2	328	1006	70	25	96	you
5	1	6	1	1	3	424	999	92	25	95	have
5	1	6	1	1	4	545	1005	69	26	96	any
5	1	6	1	1	5	640	998	162	33	96	queries
5	1	6	1	1	6	830	999	140	32	96	please
5	1	6	1	1	7	1000	998	210	32	90	telephone
5	1	6	1	1	8	1241	999	302	24	90	0161-930-6633
5	1	6	1	1	9	1573	1003	45	18	96	or
5	1	6	1	1	10	1647	997	68	24	93	fax
5	1	6	1	1	11	1744	997	303	24	91	0161-930-6371
5	1	6	1	1	12	2077	994	163	33	96	quoting
2	1	7	0	0	0	256	1045	613	33	-1	
3	1	7	1	0	0	256	1045	613	33	-1	
4	1	7	1	1	0	256	1045	613	33	-1	
5	1	7	1	1	1	256	1047	164	31	96	payment
5	1	7	1	1	2	448	1045	141	24	96	number
5	1	7	1	1	3	617	1046	252	23	94	4901051826.
2	1	8	0	0	0	261	1462	448	33	-1	
3	1	8	1	0	0	261	1462	448	33	-1	
4	1	8	1	1	0	261	1462	448	33	-1	
5	1	8	1	1	1	261	1462	185	33	93	21/04/17
5	1	8	1	1	2	474	1465	235	24	86	U113423668
2	1	9	0	0	0	254	1335	732	82	-1	
3	1	9	1	0	0	254	1335	732	82	-1	
4	1	9	1	1	0	254	1335	732	82	-1	
5	1	9	1	1	1	254	1335	732	82	95	 
2	1	10	0	0	0	1000	1325	1357	170	-1	
3	1	10	1	0	0	1000	1325	1357	170	-1	
4	1	10	1	1	0	1000	1325	1357	170	-1	
5	1	10	1	1	1	1000	1325	1357	170	95	 
2	1	11	0	0	0	260	1654	977	13	-1	
3	1	11	1	0	0	260	1654	977	13	-1	
4	1	11	1	1	0	260	1654	977	13	-1	
5	1	11	1	1	1	260	1654	977	13	95	 
2	1	12	0	0	0	243	1418	20	1641	-1	
3	1	12	1	0	0	243	1418	20	1641	-1	
4	1	12	1	1	0	243	1418	20	1641	-1	
5	1	12	1	1	1	243	1418	20	1641	95	 
2	1	13	0	0	0	262	1508	951	216	-1	
3	1	13	1	0	0	262	1508	951	216	-1	
4	1	13	1	1	0	262	1508	950	34	-1	
5	1	13	1	1	1	262	1508	185	34	93	21/04/17
5	1	13	1	1	2	475	1511	235	25	85	U113423669
5	1	13	1	1	3	1076	1509	136	24	95	196.74
4	1	13	1	2	0	262	1555	950	34	-1	
5	1	13	1	2	1	262	1555	185	34	92	21/04/17
5	1	13	1	2	2	475	1558	235	24	88	U113423670
5	1	13	1	2	3	1004	1555	208	29	92	41,159.27
4	1	13	1	3	0	262	1602	950	33	-1	
5	1	13	1	3	1	262	1603	185	32	93	21/04/17
5	1	13	1	3	2	475	1605	236	25	79	U113423671
5	1	13	1	3	3	1030	1602	182	29	95	1,988.53
4	1	13	1	4	0	262	1695	951	29	-1	
5	1	13	1	4	1	262	1700	69	24	96	GBP
5	1	13	1	4	2	430	1697	114	26	95	Total
5	1	13	1	4	3	1006	1695	207	29	93	77,083.26
2	1	14	0	0	0	1260	1414	19	1638	-1	
3	1	14	1	0	0	1260	1414	19	1638	-1	
4	1	14	1	1	0	1260	1414	19	1638	-1	
5	1	14	1	1	1	1260	1414	19	1638	95	 
2	1	15	0	0	0	1335	1412	19	1639	-1	
3	1	15	1	0	0	1335	1412	19	1639	-1	
4	1	15	1	1	0	1335	1412	19	1639	-1	
5	1	15	1	1	1	1335	1412	19	1639	95	 
2	1	16	0	0	0	2351	1408	21	1634	-1	
3	1	16	1	0	0	2351	1408	21	1634	-1	
4	1	16	1	1	0	2351	1408	21	1634	-1	
5	1	16	1	1	1	2351	1408	21	1634	95	 
2	1	17	0	0	0	258	3038	2111	20	-1	
3	1	17	1	0	0	258	3038	2111	20	-1	
4	1	17	1	1	0	258	3038	2111	20	-1	
5	1	17	1	1	1	258	3038	2111	20	95	 
2	1	18	0	0	0	2088	3165	236	38	-1	
3	1	18	1	0	0	2088	3165	236	38	-1	
4	1	18	1	1	0	2088	3165	236	38	-1	
5	1	18	1	1	1	2088	3175	70	28	95	Page
5	1	18	1	1	2	2187	3165	40	37	91	1/
5	1	18	1	1	3	2307	3172	17	23	85	1
